image_name,r_mean,g_mean,b_mean,h_mean,s_mean,v_mean,brown_ratio,yellow_ratio,dark_ratio,contrast,energy,homogeneity,correlation,maladie_id
113maize_train_healthy.JPG,99.5063,165.2507,69.0657,51.5946,149.2203,165.2507,0.0,0.0,0.0,107.7759,0.033,0.1808,0.6661,0
113maize_valid_healthy.JPG,118.0156,169.7831,62.6601,47.3112,164.4968,169.9313,0.0,0.0375,0.0,93.498,0.0277,0.1953,0.9613,0
114maize_train_healthy.JPG,96.0031,156.895,59.9826,48.9577,156.2031,156.9181,0.0,0.0,0.0513,54.0899,0.0515,0.3544,0.9751,0
115maize_train_healthy.JPG,101.8582,165.8229,64.1953,50.0145,157.6922,165.836,0.0,0.0,0.0,113.8033,0.0294,0.1671,0.8008,0
116maize_train_healthy.JPG,115.0086,162.9791,92.8874,55.9484,125.941,163.1782,0.0,0.0067,0.0038,1386.3996,0.0082,0.0335,0.591,0
116maize_valid_healthy.JPG,74.8086,130.5717,69.0479,59.7539,133.2552,130.678,0.0,0.0,0.0157,77.5592,0.0398,0.2875,0.9334,0
117maize_train_healthy.JPG,113.3373,166.4703,86.1099,55.2815,132.5397,166.8403,0.0,0.001,0.0,47.3372,0.0257,0.2292,0.9724,0
117maize_valid_healthy.JPG,75.8456,132.221,70.1919,59.8529,132.3048,132.3266,0.0,0.0,0.0039,53.6719,0.0387,0.2753,0.9445,0
118maize_train_healthy.JPG,85.426,128.3787,63.133,47.1048,120.4719,128.485,0.0,0.0006,0.167,75.8613,0.1348,0.3451,0.9875,0
119maize_train_healthy.JPG,104.7113,153.7456,81.5231,55.803,129.1309,154.0759,0.0,0.0006,0.0013,65.0309,0.0208,0.2237,0.9703,0
120maize_train_healthy.JPG,109.8664,161.2077,85.8983,59.1167,127.7189,162.0007,0.0,0.0393,0.0154,1387.7078,0.0087,0.0326,0.5382,0
120maize_valid_healthy.JPG,79.7905,106.7238,77.6241,52.5164,81.6285,106.9966,0.0015,0.0003,0.1559,45.1894,0.1046,0.3826,0.9906,0
121maize_train_healthy.JPG,106.8982,175.2948,62.4137,50.191,163.0848,175.2948,0.0,0.0096,0.0,17.0946,0.0439,0.3199,0.9738,0
121maize_valid_healthy.JPG,90.9947,120.9025,87.459,57.6095,86.5654,121.2867,0.0014,0.0004,0.0397,86.17,0.0251,0.3017,0.9678,0
122maize_train_healthy.JPG,87.638,135.2567,63.1135,51.5669,122.1094,135.79,0.0,0.0159,0.1388,68.4524,0.1098,0.4304,0.9872,0
123maize_train_healthy.JPG,99.7969,152.2699,74.8608,59.1027,129.0479,153.0817,0.0,0.0158,0.0077,60.2847,0.0279,0.258,0.9663,0
124maize_train_healthy.JPG,88.3398,136.1873,99.3457,48.8683,107.5833,140.4135,0.0,0.0,0.0636,1297.9487,0.0077,0.0348,0.7321,0
125maize_train_healthy.JPG,75.3293,102.1986,77.5999,39.5727,87.037,108.9608,0.0,0.0,0.0271,16.4752,0.0412,0.4492,0.9953,0
126maize_train_healthy.JPG,74.4073,122.1404,85.4494,48.43,103.8836,126.1391,0.0,0.0,0.0781,48.2272,0.0494,0.459,0.9898,0
127maize_train_healthy.JPG,77.9941,126.7367,88.804,49.0998,104.4817,131.1872,0.0,0.0,0.0271,15.735,0.036,0.4308,0.9958,0
128maize_train_healthy.JPG,122.8882,148.6433,116.7921,55.3162,69.1658,148.7968,0.0,0.0,0.0298,1373.4498,0.0083,0.0342,0.6371,0
129maize_train_healthy.JPG,122.7884,147.9454,119.6136,57.5599,56.0417,148.0102,0.0,0.0,0.0189,10.1831,0.0384,0.402,0.9957,0
130maize_train_healthy.JPG,101.9158,125.0902,97.0963,50.3649,61.0181,125.199,0.0,0.0,0.1442,115.2167,0.1081,0.2807,0.9799,0
131maize_train_healthy.JPG,112.9575,139.0304,106.4294,55.1409,67.652,139.1883,0.0,0.0,0.0224,22.4474,0.0284,0.3297,0.9911,0
132maize_train_healthy.JPG,102.4721,143.8724,102.3503,61.9409,99.4322,143.9312,0.0,0.0,0.0168,1484.3187,0.0092,0.0334,0.4474,0
133maize_train_healthy.JPG,97.8188,142.4769,109.8646,68.9194,85.2241,142.6985,0.0,0.0,0.0,69.5109,0.0352,0.2141,0.912,0
134maize_train_healthy.JPG,79.6335,115.7084,81.653,55.1975,86.0193,115.8188,0.0,0.0,0.1661,66.7776,0.1299,0.3757,0.9859,0
135maize_train_healthy.JPG,92.2515,134.043,91.7885,61.8353,98.8594,134.1474,0.0,0.0,0.0153,142.4438,0.0271,0.2041,0.8988,0
136maize_train_healthy.JPG,112.4722,134.0078,98.9624,53.3567,85.0397,134.2182,0.0007,0.0,0.0229,1455.8157,0.0084,0.0325,0.5722,0
137maize_train_healthy.JPG,86.8403,111.9697,61.2708,45.8584,120.8428,112.4404,0.0,0.0,0.005,40.6697,0.057,0.4623,0.9723,0
138maize_train_healthy.JPG,86.6111,105.2734,73.4469,46.355,79.7087,105.5079,0.0012,0.0,0.1648,95.3593,0.1288,0.4166,0.9813,0
139maize_train_healthy.JPG,102.31,124.0624,87.5632,53.2016,85.4643,124.2905,0.0012,0.0,0.012,76.2855,0.0302,0.3335,0.964,0
140maize_train_healthy.JPG,105.9012,142.4578,82.7165,51.8659,118.4401,142.9436,0.0,0.0,0.046,1406.7507,0.008,0.0321,0.6633,0
141maize_train_healthy.JPG,109.4952,151.365,80.577,50.8749,120.1276,151.9292,0.0,0.0,0.0007,75.5712,0.0498,0.3183,0.9647,0
142maize_train_healthy.JPG,81.9124,113.6694,60.6682,44.571,104.8246,114.0474,0.0,0.0,0.1995,75.2508,0.1462,0.4499,0.9879,0
143maize_train_healthy.JPG,95.176,132.4698,71.1908,51.7406,118.0055,132.9975,0.0,0.0,0.041,82.9448,0.0331,0.325,0.9716,0
144maize_train_healthy.JPG,95.6655,120.2231,90.8952,58.9376,82.538,120.267,0.0,0.0,0.0506,1486.9077,0.0095,0.0334,0.4692,0
145maize_train_healthy.JPG,93.728,120.1056,84.7024,55.1861,81.5725,120.1142,0.0,0.0,0.0003,60.9251,0.0371,0.2427,0.9387,0
146maize_train_healthy.JPG,79.4333,102.3523,74.9963,54.8141,75.4946,102.3947,0.0,0.0,0.1309,47.1124,0.0868,0.4079,0.9841,0
147maize_train_healthy.JPG,85.2466,110.1109,79.8856,58.8504,80.173,110.1652,0.0,0.0,0.0633,144.6609,0.0307,0.2117,0.9093,0
148maize_train_healthy.JPG,101.6228,142.1216,103.9926,62.84,90.9919,142.1411,0.0,0.0,0.002,1465.3455,0.0098,0.0331,0.3568,0
149maize_train_healthy.JPG,102.5075,143.4388,102.6533,61.5505,83.3206,143.4714,0.0,0.0,0.0,64.6344,0.0313,0.2162,0.9571,0
150maize_train_healthy.JPG,80.3035,115.7352,82.8128,56.2486,82.379,115.7865,0.0,0.0,0.1403,57.6645,0.1171,0.3787,0.9861,0
151maize_train_healthy.JPG,91.5641,132.4046,93.8561,62.8225,89.4279,132.4322,0.0,0.0,0.0,83.9899,0.0321,0.1962,0.9117,0
152maize_train_healthy.JPG,106.7641,171.4994,94.4987,58.3856,132.0319,171.6707,0.0,0.0,0.0001,1362.2738,0.0098,0.0334,0.2988,0
153maize_train_healthy.JPG,82.7455,153.3459,61.6853,53.4572,152.0634,153.3459,0.0,0.0,0.0,21.7697,0.0391,0.2452,0.9335,0
154maize_train_healthy.JPG,77.6007,133.9669,63.3236,49.15,125.3905,134.0169,0.0,0.0,0.1628,83.2618,0.133,0.352,0.9832,0
155maize_train_healthy.JPG,96.7762,162.23,83.9865,58.2887,133.8961,162.4275,0.0,0.0,0.0,36.3014,0.0315,0.2418,0.9438,0
156maize_train_healthy.JPG,139.4565,165.8694,100.0181,42.4922,120.8221,165.9771,0.0001,0.0078,0.0012,1241.7179,0.0096,0.0433,0.7411,0
157maize_train_healthy.JPG,115.7571,146.4066,76.2552,44.4659,126.0266,146.4082,0.0,0.0,0.0,31.4034,0.0292,0.2433,0.964,0
158maize_train_healthy.JPG,119.6804,145.0328,80.1848,41.1911,122.779,145.2402,0.0,0.0,0.0776,108.7487,0.087,0.4964,0.9834,0
159maize_train_healthy.JPG,132.1486,158.7416,90.4817,42.998,125.7624,158.9914,0.0001,0.0,0.0,35.121,0.0842,0.3033,0.9925,0
160maize_train_healthy.JPG,124.9623,145.749,119.6613,58.2249,67.6604,146.2826,0.0,0.0002,0.0067,1318.5639,0.0094,0.0422,0.7842,0
161maize_train_healthy.JPG,129.1751,148.8743,133.3471,70.8996,43.1743,149.5686,0.0,0.0,0.0,11.9828,0.0759,0.4842,0.9979,0
162maize_train_healthy.JPG,96.0444,114.7087,92.0601,50.957,58.7213,115.0998,0.0,0.0001,0.1598,104.9208,0.1427,0.4324,0.9882,0
163maize_train_healthy.JPG,117.5645,138.3132,111.8219,60.4166,66.2298,139.1691,0.0,0.0001,0.0028,79.9475,0.0537,0.279,0.9868,0
164maize_train_healthy.JPG,96.6685,122.6113,98.6309,63.6693,72.9247,122.6257,0.0,0.0,0.0227,1420.8618,0.0096,0.033,0.4577,0
165maize_train_healthy.JPG,99.3082,126.9661,102.9964,64.3257,59.0562,126.9661,0.0,0.0,0.0,27.56,0.0553,0.3065,0.9792,0
166maize_train_healthy.JPG,83.5652,108.8509,85.4186,62.78,72.4944,108.8805,0.0,0.0,0.0528,63.5512,0.0456,0.3294,0.968,0
167maize_train_healthy.JPG,86.2439,112.5444,87.8609,63.54,70.883,112.5581,0.0,0.0,0.0157,53.0561,0.0413,0.3062,0.9598,0
168maize_train_healthy.JPG,105.1812,156.8349,87.7739,59.0161,125.2327,157.1433,0.0,0.0028,0.0227,1358.2602,0.0092,0.0342,0.5188,0
169maize_train_healthy.JPG,102.4013,159.7759,86.9679,58.6426,123.6763,159.9481,0.0,0.0,0.0185,5.1897,0.0725,0.5234,0.9945,0
16maize_train_healthy.JPG,101.3288,154.6338,71.6994,49.9023,144.0966,154.6729,0.0,0.0,0.0219,1338.3071,0.0097,0.0343,0.473,0
170maize_train_healthy.JPG,89.4534,139.3323,72.05,55.6757,124.3146,139.6024,0.0,0.0,0.0986,51.3774,0.0686,0.4592,0.9845,0
171maize_train_healthy.JPG,94.8587,147.0608,76.659,59.405,125.7048,147.4134,0.0,0.0,0.0341,8.4036,0.0536,0.4681,0.9946,0
172maize_train_healthy.JPG,110.9904,134.3454,108.6613,57.1562,68.6845,134.7163,0.0002,0.0,0.0462,1428.7229,0.0077,0.0334,0.6715,0
173maize_train_healthy.JPG,135.8628,161.7539,138.2504,64.0883,45.2781,161.8549,0.0,0.0,0.0,51.4782,0.0303,0.2511,0.9686,0
174maize_train_healthy.JPG,89.339,111.054,87.9881,51.7328,60.1716,111.2776,0.0001,0.0,0.1834,73.5683,0.121,0.3393,0.9874,0
175maize_train_healthy.JPG,100.8542,124.5711,98.1425,57.012,65.9085,124.9554,0.0002,0.0,0.0569,86.686,0.0219,0.2527,0.9724,0
176maize_train_healthy.JPG,110.33,143.624,104.9891,57.1468,89.0003,144.3808,0.0,0.0025,0.0225,1439.8742,0.0085,0.0328,0.5518,0
177maize_train_healthy.JPG,100.3133,138.4195,101.9737,58.7402,82.8706,139.1925,0.0,0.0,0.0,57.1145,0.0449,0.3417,0.9621,0
178maize_train_healthy.JPG,83.3167,112.8364,79.7909,49.3888,78.3434,113.3889,0.0,0.0,0.1736,86.0947,0.145,0.4225,0.9842,0
179maize_train_healthy.JPG,100.3234,133.8714,94.5571,57.1406,87.117,134.6718,0.0,0.0,0.0079,65.3222,0.0339,0.3173,0.9656,0
17maize_train_healthy.JPG,97.5449,153.588,60.0745,47.5575,151.9444,153.6563,0.0,0.0,0.0051,7.3483,0.0854,0.6565,0.9922,0
180maize_train_healthy.JPG,114.4968,149.8833,97.8286,52.1603,101.7837,150.2699,0.0,0.0,0.0152,1457.9381,0.0087,0.0333,0.5237,0
181maize_train_healthy.JPG,115.8834,156.4642,89.2828,49.2493,112.129,156.5479,0.0,0.0,0.0,85.8534,0.0275,0.1994,0.8841,0
182maize_train_healthy.JPG,91.8664,123.1966,75.1308,45.5012,95.3743,123.5015,0.0,0.0,0.1475,107.3091,0.1184,0.309,0.9796,0
183maize_train_healthy.JPG,104.229,140.0587,87.0264,52.0453,101.5752,140.4671,0.0,0.0,0.004,103.5286,0.0243,0.2328,0.9404,0
184maize_train_healthy.JPG,108.881,168.6371,74.3848,55.4695,147.1808,169.4078,0.0,0.0177,0.0139,1363.4765,0.0082,0.0341,0.6055,0
185maize_train_healthy.JPG,94.4472,165.9054,58.0257,51.796,165.3175,165.9952,0.0,0.0071,0.0001,51.1868,0.0261,0.2034,0.9778,0
186maize_train_healthy.JPG,85.5291,142.7791,52.7546,48.712,144.4323,143.2111,0.0,0.0051,0.1386,78.9389,0.1012,0.3777,0.9865,0
187maize_train_healthy.JPG,98.674,160.5472,62.7558,55.5018,151.4709,161.3379,0.0,0.0062,0.0182,128.9856,0.0198,0.1715,0.947,0
188maize_train_healthy.JPG,138.8872,151.4657,102.8824,45.2822,95.4657,151.9262,0.0012,0.0032,0.003,1437.5803,0.0087,0.0331,0.5218,0
189maize_train_healthy.JPG,129.7269,142.7798,98.8644,47.829,85.0989,143.2232,0.0003,0.0,0.0,34.5899,0.0354,0.2861,0.9719,0
18maize_train_healthy.JPG,79.1265,125.9175,50.5875,42.6056,132.403,125.983,0.0,0.0,0.1757,52.6694,0.1444,0.476,0.9891,0
190maize_train_healthy.JPG,106.6033,117.4375,77.8319,40.0157,83.0909,117.8413,0.0003,0.0007,0.1683,84.8151,0.145,0.3988,0.9862,0
191maize_train_healthy.JPG,129.232,141.874,92.4538,45.297,95.5661,142.4493,0.0003,0.0019,0.0,72.8263,0.0286,0.2852,0.9582,0
192maize_train_healthy.JPG,92.7727,135.288,92.6948,63.6885,113.8599,135.6454,0.0,0.0,0.0093,1487.6456,0.0094,0.0331,0.4241,0
193maize_train_healthy.JPG,83.9328,131.6775,77.7126,58.9645,116.1195,131.7668,0.0,0.0,0.0,55.0604,0.0335,0.2388,0.968,0
194maize_train_healthy.JPG,67.6488,104.5751,68.3471,55.3676,100.7259,104.8341,0.0,0.0,0.1758,88.2372,0.1419,0.2883,0.9788,0
195maize_train_healthy.JPG,82.5744,125.6649,81.7409,63.4953,113.8749,126.0618,0.0,0.0,0.009,127.7262,0.0268,0.139,0.8971,0
196maize_train_healthy.JPG,101.5977,173.2795,80.267,57.5432,149.2778,173.7577,0.0,0.0001,0.0004,1337.2364,0.0094,0.034,0.4151,0
197maize_train_healthy.JPG,84.6543,157.9473,60.6687,56.6995,158.4639,158.247,0.0,0.0,0.0,30.0944,0.0325,0.2846,0.9624,0
197maize_valid_healthy.JPG,89.4935,164.2419,59.6846,52.0264,163.0328,164.2419,0.0,0.0003,0.0,40.2535,0.0255,0.207,0.967,0
198maize_train_healthy.JPG,74.5992,137.0187,53.7384,49.4288,141.3673,137.3174,0.0,0.0001,0.1557,98.1205,0.1255,0.3656,0.9811,0
198maize_valid_healthy.JPG,76.6306,116.609,75.9682,57.087,97.413,116.747,0.0,0.0,0.125,80.035,0.0665,0.2948,0.9768,0
199maize_train_healthy.JPG,91.2422,164.231,68.9372,57.4475,153.3073,164.8638,0.0,0.0003,0.0,53.4356,0.0276,0.2486,0.9497,0
199maize_valid_healthy.JPG,83.6677,126.9729,83.1359,60.8987,100.7085,127.1574,0.0,0.0,0.0407,102.4251,0.0281,0.2346,0.9431,0
19maize_train_healthy.JPG,90.9961,144.8589,60.1088,49.6856,146.3286,144.8991,0.0,0.0,0.0286,6.6948,0.0678,0.5297,0.9948,0
200maize_train_healthy.JPG,147.9076,165.6786,137.1453,67.3092,74.0952,168.4447,0.0,0.0,0.0039,1198.3861,0.0087,0.0399,0.8247,0
200maize_valid_healthy.JPG,83.598,132.8866,73.8298,58.5329,122.875,133.0854,0.0,0.0,0.021,10.4719,0.0441,0.4305,0.9918,0
201maize_train_healthy.JPG,113.6921,136.0206,97.0041,54.3118,90.4428,137.8613,0.0,0.0,0.0007,44.9032,0.0473,0.3795,0.988,0
201maize_valid_healthy.JPG,83.6766,126.9667,83.1405,60.9349,100.7636,127.1707,0.0,0.0,0.0406,102.4258,0.0281,0.2351,0.9431,0
202maize_train_healthy.JPG,114.6195,130.3026,107.8626,58.3659,71.433,135.0367,0.0,0.0,0.1664,110.0261,0.1495,0.5272,0.9903,0
202maize_valid_healthy.JPG,100.4837,135.7498,80.8915,53.9036,109.2635,135.7955,0.0,0.0,0.0013,74.3571,0.0372,0.2667,0.911,0
203maize_train_healthy.JPG,140.2128,158.7197,132.658,69.4026,78.3871,164.8648,0.0,0.0,0.0003,44.5789,0.0624,0.4786,0.9933,0
203maize_valid_healthy.JPG,161.0075,176.3965,131.724,61.9293,88.6034,179.4102,0.0172,0.0007,0.0,56.5055,0.0966,0.4674,0.9917,0
204maize_valid_healthy.JPG,98.831,130.5365,68.3591,45.1263,125.3357,130.5366,0.0,0.0,0.0,137.3127,0.0218,0.1223,0.8558,0
205maize_valid_healthy.JPG,107.1045,131.6018,88.1833,51.8491,91.9531,131.6488,0.0002,0.0035,0.0019,63.0271,0.0237,0.2089,0.9602,0
206maize_valid_healthy.JPG,84.2543,134.9482,77.29,58.3809,119.3867,135.1181,0.0,0.0,0.0054,96.6631,0.0214,0.1697,0.9374,0
207maize_valid_healthy.JPG,109.6864,139.6948,96.2782,53.611,87.5121,139.8307,0.0004,0.0002,0.0002,90.8889,0.0398,0.2072,0.9557,0
208maize_train_healthy.JPG,155.887,178.8596,126.9225,59.7855,96.1474,179.9034,0.0,0.005,0.0005,1213.1479,0.0095,0.0434,0.7744,0
208maize_valid_healthy.JPG,118.021,169.784,62.671,47.3837,164.4973,169.9454,0.0,0.0377,0.0,93.5967,0.0283,0.1957,0.9613,0
209maize_train_healthy.JPG,162.5295,182.9993,146.9809,69.6408,69.6843,185.9852,0.0,0.0,0.0,19.3518,0.0747,0.5033,0.996,0
209maize_valid_healthy.JPG,94.0869,128.1473,60.8549,48.743,132.7925,128.1603,0.0,0.0028,0.0693,100.1133,0.027,0.297,0.9792,0
20maize_train_healthy.JPG,105.1343,156.6578,78.2838,50.8105,138.2334,156.8848,0.0,0.0047,0.0124,1372.3238,0.0091,0.0335,0.4993,0
210maize_train_healthy.JPG,127.1285,147.9528,101.9807,54.5716,92.6372,150.0413,0.0,0.0,0.1356,118.22,0.1168,0.4689,0.988,0
210maize_valid_healthy.JPG,111.92,133.9781,78.6427,46.9196,115.9608,134.8202,0.0098,0.0,0.0001,94.2227,0.0379,0.2551,0.9618,0
211maize_train_healthy.JPG,149.1278,172.6874,121.2015,62.9865,100.6525,175.5985,0.0,0.0001,0.0,56.6076,0.0492,0.3806,0.9894,0
212maize_train_healthy.JPG,124.2369,165.7729,91.1007,45.3693,132.886,165.8643,0.0,0.0031,0.0089,1299.1527,0.0104,0.0447,0.7397,0
213maize_train_healthy.JPG,108.6751,158.0254,58.3127,47.0626,166.9598,158.2797,0.0,0.0,0.0001,36.1434,0.0411,0.2763,0.9826,0
214maize_train_healthy.JPG,93.9948,130.528,63.1554,40.2771,124.4462,130.7018,0.0,0.0,0.1803,94.3412,0.1583,0.4356,0.989,0
215maize_train_healthy.JPG,116.9251,158.9068,81.626,45.3411,137.3768,159.0727,0.0,0.0,0.0101,89.3619,0.108,0.2855,0.9823,0
216maize_train_healthy.JPG,89.0936,126.0222,93.0975,64.569,102.7286,126.1539,0.001,0.0018,0.0125,1439.3606,0.0095,0.0329,0.3704,0
217maize_train_healthy.JPG,79.2881,124.8262,89.6167,67.3621,95.8311,124.8262,0.0,0.0,0.0,23.8416,0.0623,0.4216,0.862,0
218maize_train_healthy.JPG,65.9591,98.5062,69.3402,56.6204,92.4563,98.598,0.0031,0.0023,0.1685,49.9197,0.1348,0.3994,0.9856,0
219maize_train_healthy.JPG,78.728,116.1796,82.6398,64.5631,100.228,116.3176,0.0031,0.0022,0.0073,69.6796,0.0311,0.2373,0.9266,0
21maize_train_healthy.JPG,96.2034,155.4833,64.3001,50.9825,152.2646,155.4866,0.0,0.0,0.0,16.1267,0.0434,0.3135,0.9787,0
220maize_train_healthy.JPG,110.6183,154.7775,62.737,47.937,162.2135,154.8279,0.0,0.0708,0.0115,1315.5601,0.008,0.0354,0.6756,0
221maize_train_healthy.JPG,117.3131,171.8848,29.7089,41.8147,209.8141,171.8848,0.0,0.0436,0.0,18.1487,0.033,0.24,0.9796,0
222maize_train_healthy.JPG,82.6911,122.1102,35.356,40.7037,157.1622,122.1936,0.0,0.0104,0.1768,81.5949,0.1403,0.3217,0.9869,0
223maize_train_healthy.JPG,100.5812,145.925,48.7422,47.5432,172.1204,146.0223,0.0001,0.0133,0.0083,71.2473,0.0223,0.214,0.9773,0
224maize_train_healthy.JPG,104.4333,150.8329,104.5727,62.0561,98.8637,151.9212,0.0,0.0,0.0169,1451.8131,0.0088,0.0326,0.4973,0
225maize_train_healthy.JPG,93.2287,160.9009,86.8768,58.5367,123.5657,160.9009,0.0,0.0,0.0,24.9655,0.0701,0.4014,0.9438,0
226maize_train_healthy.JPG,84.104,126.6436,84.172,56.6256,93.2464,127.5956,0.0,0.0,0.1188,107.1198,0.0876,0.3478,0.9746,0
227maize_train_healthy.JPG,94.2491,141.1042,94.1228,61.9887,97.9921,142.2049,0.0,0.0,0.0096,86.8307,0.0301,0.2856,0.9449,0
228maize_train_healthy.JPG,128.4058,163.8719,101.316,49.5254,109.8718,163.9364,0.0,0.0011,0.0003,1389.2292,0.0085,0.0334,0.5653,0
229maize_train_healthy.JPG,105.9619,148.8026,68.349,47.6755,140.7125,148.8036,0.0,0.0,0.0,57.1178,0.0403,0.2175,0.9319,0
22maize_train_healthy.JPG,78.4987,124.6466,55.8242,45.6872,127.5159,124.8679,0.0,0.0,0.1657,65.3434,0.1257,0.3289,0.9862,0
230maize_train_healthy.JPG,112.9985,147.7136,85.9742,48.3191,112.4613,147.751,0.0,0.0022,0.0454,135.5332,0.033,0.2141,0.9591,0
231maize_train_healthy.JPG,118.7343,154.8615,90.712,49.5584,111.9171,155.0088,0.0,0.0024,0.0,88.9119,0.022,0.1747,0.9567,0
232maize_train_healthy.JPG,96.5948,127.051,92.1648,57.2639,91.3161,127.231,0.0,0.0,0.0256,1519.7644,0.0082,0.0328,0.5678,0
233maize_train_healthy.JPG,101.0181,131.0931,99.61,59.3117,71.1154,131.2028,0.0,0.0,0.0014,125.6475,0.0205,0.1626,0.9352,0
234maize_train_healthy.JPG,84.9951,115.8001,80.2807,57.0632,90.9601,115.9763,0.0,0.0,0.0339,36.5379,0.0321,0.3466,0.9849,0
235maize_train_healthy.JPG,86.0436,117.1908,81.1268,57.0999,89.951,117.3828,0.0,0.0,0.0202,146.1133,0.0197,0.1684,0.9347,0
236maize_train_healthy.JPG,97.0053,149.22,86.1183,57.9866,118.1056,149.4767,0.0,0.0,0.0208,1432.6164,0.0091,0.0327,0.4749,0
237maize_train_healthy.JPG,89.5227,153.598,74.3722,55.5133,135.8353,153.598,0.0,0.0,0.0,17.2648,0.0644,0.4475,0.967,0
238maize_train_healthy.JPG,79.2092,128.635,68.3619,54.5142,114.8865,128.9178,0.0,0.0,0.0996,59.9564,0.0773,0.3987,0.9821,0
239maize_train_healthy.JPG,86.6463,139.3482,75.2072,57.9743,117.749,139.6195,0.0,0.0,0.0102,62.7236,0.0389,0.3284,0.9556,0
23maize_train_healthy.JPG,95.1139,147.3622,66.9944,50.6513,140.4541,147.6284,0.0,0.0061,0.0185,54.1002,0.0292,0.2149,0.9639,0
240maize_train_healthy.JPG,94.2557,131.3939,95.2465,65.9385,98.7283,132.2618,0.0,0.0,0.0165,1391.0097,0.0096,0.0328,0.4005,0
241maize_train_healthy.JPG,89.3282,129.8516,90.1593,62.3524,92.6614,129.9243,0.0,0.0,0.0,5.8706,0.052,0.4378,0.9939,0
242maize_train_healthy.JPG,72.7124,105.4949,73.053,58.1344,90.4149,106.2123,0.0,0.0,0.1503,93.1393,0.1214,0.2914,0.974,0
243maize_train_healthy.JPG,83.9434,121.3559,84.4038,66.0203,97.5183,122.276,0.0,0.0,0.0174,9.5267,0.0454,0.3885,0.9906,0
244maize_train_healthy.JPG,106.7093,139.8517,102.9219,58.1438,83.287,139.8521,0.0,0.0,0.005,1384.6089,0.0096,0.0339,0.4623,0
245maize_train_healthy.JPG,96.4979,131.9304,96.3526,60.7801,79.8263,131.9308,0.0,0.0,0.0027,21.4006,0.0499,0.3516,0.9857,0
246maize_train_healthy.JPG,87.3181,117.447,84.6855,54.5397,77.6365,117.4709,0.0,0.0,0.1056,60.0051,0.0883,0.3884,0.9833,0
247maize_train_healthy.JPG,96.8028,130.2063,92.8322,58.1019,81.4591,130.2064,0.0,0.0,0.0028,29.5388,0.0473,0.3528,0.9776,0
248maize_train_healthy.JPG,108.0712,141.8403,109.0371,59.6079,85.8294,141.9383,0.0,0.0,0.0322,1420.992,0.0076,0.0332,0.6888,0
249maize_train_healthy.JPG,114.3648,160.8208,128.0548,69.0091,76.183,160.8785,0.0,0.0,0.0,11.6334,0.0495,0.4586,0.9847,0
24maize_train_healthy.JPG,107.2437,145.2952,102.3847,56.9263,100.2629,146.1254,0.0025,0.0,0.0138,1419.7976,0.0089,0.0338,0.4777,0
250maize_train_healthy.JPG,89.6499,121.4302,91.7054,55.8486,78.8077,121.5238,0.0,0.0,0.1241,93.772,0.0845,0.3921,0.9833,0
